Cultivo,pH,EC,Hortaliza,Sistema,Duracion_Ciclo,Costo,Ganancia
Brocoli,6 to 6.8,2.8 to 3.5,Flor,NFT,70-90,10,29
Calabacita,6,1.8 to 2.4,Fruto,Goteo,45,12,33
Pepino,5 to 5.5,1.7 to 2,Fruto,Goteo,70-80,8,27
Pimientos,5.5 to 6,0.8 to 1.8,Fruto,Goteo,65,30,75
fresa,6,1.8 to 2.2,Fruto,NFT,120-150,55,100
Tomate,6 to 6.5,2 to 4,Fruto,Goteo,110-120,20,32
Albahaca,5.5 to 6,1 to 1.6,Hoja,NFT,90,80,150
Repollo,6.5 to 7,2.5 to 3,Hoja,NFT,80-100,7,19
Apio,6.5,1.8 to 2.4,Hoja,NFT,90-120,15,26
Lechuga,6 to 7,1.2 to 1.8,Hoja,NFT,80-90,10,21
Perejil,6 to 6.5,1.8 to 2.2,Hoja,NFT,80,45,70
Rabano,6 to 7,1.4 to 1.8,Raiz,Aeroponia,60-70,18,35
Espinacas,6 to 7,1.8 to 2.3,Hoja,NFT,75,73,160
Zanahoria,5.8 to 6.3,1.6 to 2.0,Raiz,Aeroponia,90-100,6,11
Cebollin,6.0 to 7.0,1.4  to 1.8,Tallo,NFT,120,30,75
